,Formula,Elements,Composition,Symmetry,Crystal system,Density [g/m$^3$],Volume [$\mathring{A}^3$],Bulk modulus[GPa],Shear modulus [GPa],Poisson,Metal,Experimental report
73,Li6MnS4,"[Element Li, Element Mn, Element S]",Li6 Mn1 S4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_2/nmc' number=137 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,2.0196771609092554,369.72475387777445,43.77537152755413,26.582310999542376,0.24748993695364255,False,False
74,BaZnSi,"[Element Ba, Element Si, Element Zn]",Ba1 Zn1 Si1,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',hex_,4.719146715672891,162.43958548195286,43.93357082483322,31.309150292759895,0.21207304915612563,True,True
75,Zn(GaS2)2,"[Element Ga, Element S, Element Zn]",Zn1 Ga2 S4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-4' number=82 point_group='-4' symprec=0.1 version='1.16.2',tet,3.768506629263857,146.78240629193527,44.02883663823718,28.539410728951644,0.23348562970483236,False,True
76,NbInSe2,"[Element In, Element Nb, Element Se]",Nb1 In1 Se2,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P-6m2' number=187 point_group='-6m2' symprec=0.1 version='1.16.2',hex_,6.292665702568793,96.48800781279036,44.04368404031102,19.58458930624049,0.3063687851627203,True,True
77,NaZnP,"[Element Na, Element P, Element Zn]",Na1 Zn1 P1,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/nmm' number=129 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,3.572479111584915,110.97209835409217,44.10297066026469,26.077148547195414,0.2530355721305367,False,True
78,K2ZnF4,"[Element F, Element K, Element Zn]",K2 Zn1 F4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,3.4190611715510717,106.65298266178148,44.23568054664418,20.812327362539385,0.2966478676491537,False,True
79,SrLiP,"[Element Li, Element P, Element Sr]",Sr1 Li1 P1,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',hex_,3.1330516461841467,133.068586195327,44.2997181160619,36.62265246229988,0.17594742100134372,False,True
80,Bi2SO2,"[Element Bi, Element O, Element S]",Bi2 S1 O2,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnnm' number=58 point_group='mmm' symprec=0.1 version='1.16.2',ortho,8.981083721992539,178.24590085987023,44.34627919031817,22.737985463488883,0.28105229307640955,False,True
81,Ba(CdAs)2,"[Element As, Element Ba, Element Cd]",Ba1 Cd2 As2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',trig,6.085725269374697,139.70118798705417,44.401563546000745,26.655657195615817,0.24988490682480957,False,True
82,K(CoAs)2,"[Element As, Element Co, Element K]",K1 Co2 As2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,5.340824771311608,95.39097594490072,44.43680110126974,29.092633988286373,0.23129227316148518,True,True
83,CaZn2,"[Element Ca, Element Zn]",Ca1 Zn2,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Imma' number=74 point_group='mmm' symprec=0.1 version='1.16.2',ortho,4.572929215186739,124.11278240793206,44.504586067954975,24.144585364887284,0.2702825158026772,True,True
84,SrP,"[Element P, Element Sr]",Sr1 P1,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P-62m' number=189 point_group='-6m2' symprec=0.1 version='1.16.2',hex_,3.4512427329684088,342.36289376264824,44.559557773533996,26.570389239633567,0.251289753445708,False,True
85,GaSb,"[Element Ga, Element Sb]",Ga1 Sb1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='F-43m' number=216 point_group='-43m' symprec=0.1 version='1.16.2',cubic,5.502076826163306,57.78999678408531,44.65379386094293,29.94626254751099,0.22594692541888736,True,True
86,BaAu2,"[Element Au, Element Ba]",Ba1 Au2,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6/mmm' number=191 point_group='6/mmm' symprec=0.1 version='1.16.2',hex_,10.232367246803905,86.21447924983896,44.66001625309367,16.779005157236504,0.3330547513929627,True,True
87,PtPb4,"[Element Pb, Element Pt]",Pt1 Pb4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/nbm' number=125 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,12.30037850077302,276.44667707742894,44.67643541487185,14.154754432891831,0.35671784433316894,True,True
88,MgCd3,"[Element Cd, Element Mg]",Mg1 Cd3,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',hex_,7.123918450497599,168.5443137037867,44.77422694414487,12.0354439440794,0.37665074321165337,True,True
89,InAgSe2,"[Element Ag, Element In, Element Se]",In1 Ag1 Se2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-42d' number=122 point_group='-42m' symprec=0.1 version='1.16.2',tet,5.631035554113998,224.47432910574653,44.7764757463312,14.151652527770546,0.3570357999483827,True,True
90,CdSe,"[Element Cd, Element Se]",Cd1 Se1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='F-43m' number=216 point_group='-43m' symprec=0.1 version='1.16.2',cubic,5.489907312582963,57.88422347057727,44.83677183275032,15.295983349568202,0.3468423877979927,False,True
91,BaCuSb,"[Element Ba, Element Cu, Element Sb]",Ba1 Cu1 Sb1,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',hex_,6.07153002268135,176.4776584066889,44.90048919060307,28.81387135814939,0.23567735406317072,True,True
92,Na2BHO3,"[Element B, Element H, Element Na, Element O]",Na2 B1 H1 O3,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',ortho,2.29351880380913,306.39298456787003,44.99536920625333,19.625811172219382,0.309596071321465,False,True
93,Ba(MgAs)2,"[Element As, Element Ba, Element Mg]",Ba1 Mg2 As2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',trig,4.104683991764778,135.8389929674064,44.99912184150255,32.89076727459657,0.20613675851091431,False,True
94,NaVN2,"[Element N, Element Na, Element V]",Na1 V1 N2,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmce' number=64 point_group='mmm' symprec=0.1 version='1.16.2',ortho,2.9052930863905537,233.06854205386756,45.004298961865494,15.59591730279607,0.34467126920651986,False,False
95,CaN6,"[Element Ca, Element N]",Ca1 N6,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Fddd' number=70 point_group='mmm' symprec=0.1 version='1.16.2',ortho,2.2255846956560754,185.21256043712629,45.067358588997074,22.3832694087478,0.28694145654420466,False,True
96,AlF3,"[Element Al, Element F]",Al1 F3,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3c' number=167 point_group='-3m' symprec=0.1 version='1.16.2',trig,3.2644233278331085,85.43418366311855,45.11123794789187,62.18376089743735,0.027760055314534477,False,True
97,Ag2CO3,"[Element Ag, Element C, Element O]",Ag2 C1 O3,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/m' number=11 point_group='2/m' symprec=0.1 version='1.16.2',mono,6.103459150948377,150.04142135044484,45.181695097688554,13.409275751438507,0.36496592992568927,False,True
98,Na3VO4,"[Element Na, Element O, Element V]",Na3 V1 O4,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pmn2_1' number=31 point_group='mm2' symprec=0.1 version='1.16.2',ortho,2.6083260187245543,234.16328610934684,45.37137758395556,17.498743424431918,0.3291281578080511,False,False
99,NaBeAs,"[Element As, Element Be, Element Na]",Na1 Be1 As1,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',hex_,3.180153655733842,111.66173289766867,45.40618523027992,33.264773344352975,0.20559251874166065,False,True
100,Na4P2O7,"[Element Na, Element O, Element P]",Na4 P2 O7,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='P2_12_12_1' number=19 point_group='222' symprec=0.1 version='1.16.2',ortho,2.6571598092424815,664.6816249842055,45.53831287398491,23.631934336661498,0.2787919299108777,False,True
101,Na2O,"[Element Na, Element O]",Na2 O1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,2.4947536447164014,41.253952671138684,45.63696157234406,30.185659172164765,0.22902797565776303,False,True
102,LiMg2Ag,"[Element Ag, Element Li, Element Mg]",Li1 Mg2 Ag1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,3.74160330109654,72.52611888411337,45.71491918022974,27.205771774404884,0.25169743698623176,True,False
103,Sr3(AlGe2)2,"[Element Al, Element Ge, Element Sr]",Sr3 Al2 Ge4,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',mono,4.5637816625235805,220.99727871832923,45.76345394909479,31.389853698275676,0.220863644884921,True,True
104,NaBO2,"[Element B, Element Na, Element O]",Na1 B1 O2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3c' number=167 point_group='-3m' symprec=0.1 version='1.16.2',trig,2.5675218774205737,255.33435095321386,45.81722153249287,18.97050615598853,0.31808359328530755,False,True
105,RbCaF3,"[Element Ca, Element F, Element Rb]",Rb1 Ca1 F3,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,3.42984602336079,88.37611823763214,45.8646336871634,26.048140830360918,0.26123366102114703,False,True
106,BAsO4,"[Element As, Element B, Element O]",B1 As1 O4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-4' number=82 point_group='-4' symprec=0.1 version='1.16.2',tet,3.6179995570108634,68.7210826402776,45.95246902141743,40.97868777068402,0.15628844829808922,False,True
107,ZnTe,"[Element Te, Element Zn]",Zn1 Te1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='F-43m' number=216 point_group='3m' symprec=0.1 version='1.16.2',cubic,5.616959252306423,171.17748428055455,45.982043664493325,22.431774531735094,0.29019764794027403,False,True
108,NaCuO,"[Element Cu, Element Na, Element O]",Na1 Cu1 O1,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,3.837715995425951,177.46352725716636,45.99313238962888,21.692591219754647,0.2962141815981374,False,True
109,Ba3RuN3,"[Element Ba, Element N, Element Ru]",Ba3 Ru1 N3,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/m' number=176 point_group='6/m' symprec=0.1 version='1.16.2',hex_,5.563823689535102,331.325109393483,46.06292048872699,24.65564729974058,0.27289075363482546,False,False
110,K2Na4Ge2O7,"[Element Ge, Element K, Element Na, Element O]",K2 Na4 Ge2 O7,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1' number=4 point_group='2' symprec=0.1 version='1.16.2',mono,2.985501805790019,950.9512466893138,46.07984911350923,22.90299884043676,0.2868067802399327,False,True
111,CsTaN2,"[Element Cs, Element N, Element Ta]",Cs1 Ta1 N2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-42d' number=122 point_group='-42m' symprec=0.1 version='1.16.2',tet,6.64215108670938,170.93349924747253,46.123677606795965,31.96447283463086,0.21851606001010165,False,False
112,CaZnSn,"[Element Ca, Element Sn, Element Zn]",Ca1 Zn1 Sn1,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3mc' number=186 point_group='6mm' symprec=0.1 version='1.16.2',hex_,5.243958643251967,141.98734293741532,46.16295535517786,35.58586111964061,0.1933570280843895,True,True
113,Li2ZnAu,"[Element Au, Element Li, Element Zn]",Li2 Zn1 Au1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,8.173849609258095,56.122452418118634,46.169236031291945,5.016319831001774,0.44757337948708437,True,False
114,Sr(CdAs)2,"[Element As, Element Cd, Element Sr]",Sr1 Cd2 As2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',trig,5.9152294396684315,129.7739406967151,46.19098658853656,28.087942994364234,0.2471997703491082,False,True
115,Te2O5,"[Element O, Element Te]",Te2 O5,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1' number=4 point_group='2' symprec=0.1 version='1.16.2',mono,5.655033925776998,196.85389011371586,46.19707375204924,38.75017659517766,0.1722408552260541,False,True
116,Na4CoO3,"[Element Co, Element Na, Element O]",Na4 Co1 O3,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Cc' number=9 point_group='m' symprec=0.1 version='1.16.2',mono,2.8870310608452536,228.79241128294913,46.21178322916478,19.3597584824835,0.3161991338840493,False,True
117,Sn(PbO2)2,"[Element O, Element Pb, Element Sn]",Sn1 Pb2 O4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_2/mbc' number=135 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,8.051104990329549,492.6133731728575,46.22689817777007,16.926219931780636,0.33683674992882884,False,True
118,P2Pb2O7,"[Element O, Element P, Element Pb]",P2 Pb2 O7,crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P-1' number=2 point_group='-1' symprec=0.1 version='1.16.2',tri,6.320721093005686,618.2630492311283,46.23726259138742,20.10477192795962,0.31011326559080155,False,True
119,Mg(HO)2,"[Element H, Element Mg, Element O]",Mg1 H2 O2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',trig,2.452761142206854,39.482893513421246,46.3699511030611,34.32645525228075,0.20312050973932191,False,True
120,CsNa2BO3,"[Element B, Element Cs, Element Na, Element O]",Cs1 Na2 B1 O3,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pmmn' number=59 point_group='mmm' symprec=0.1 version='1.16.2',ortho,3.7495894311140185,210.52997743564893,46.50428876377522,21.72758146556245,0.29787098924778704,False,True
121,Na8CoO6,"[Element Co, Element Na, Element O]",Na8 Co1 O6,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3cm' number=185 point_group='6mm' symprec=0.1 version='1.16.2',hex_,2.6522507314568524,424.29617876544563,46.519934503753284,25.283829551312806,0.2699289707320813,False,False
122,LiZnSb,"[Element Li, Element Sb, Element Zn]",Li1 Zn1 Sb1,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3mc' number=186 point_group='6mm' symprec=0.1 version='1.16.2',hex_,5.310775589895061,121.38612628672381,46.523816176643436,25.954802256972407,0.2647974070555151,False,True
123,Na3BN2,"[Element B, Element N, Element Na]",Na3 B1 N2,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/c' number=14 point_group='2/m' symprec=0.1 version='1.16.2',mono,2.2018361494951213,325.17526436838676,46.53259509318782,23.51625896252436,0.2837440141485696,False,True
124,CaH2,"[Element Ca, Element H]",Ca1 H2,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',ortho,1.9607432942337688,142.59598879737652,46.555146942758725,32.24534466200544,0.21864466295663298,False,True
125,SrCuSn2,"[Element Cu, Element Sn, Element Sr]",Sr1 Cu1 Sn2,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmcm' number=63 point_group='mmm' symprec=0.1 version='1.16.2',ortho,6.324950250913399,204.03709377497282,46.55987668028172,23.444623619842567,0.2844162677187535,True,True
126,Bi,[Element Bi],Bi1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='4/mmm' symprec=0.1 version='1.16.2',cubic,10.10913436840562,137.30952847486012,46.56051909826344,14.35958557657797,0.36017126357694346,True,True
